cluster,top_species
0,"Columba livia domestica, Cairina moschata domestica, Turdus rufiventris, Gallinula galeata, Pitangus sulphuratus, Vanellus chilensis, Coragyps atratus, Nannopterum brasilianum, Furnarius rufus, Columbina talpacoti"
1,"Ardea alba, Coragyps atratus, Turdus rufiventris, Vanellus chilensis, Gallinula galeata, Dendrocygna viduata, Nannopterum brasilianum, Butorides striata, Pitangus sulphuratus, Celeus flavescens"
2,"Diopsittaca nobilis, Amazona aestiva, Zenaida auriculata, Brotogeris tirica, Eupetomena macroura, Pitangus sulphuratus, Turdus rufiventris, Paroaria dominicana, Celeus flavescens, Thraupis sayaca"
3,"Nannopterum brasilianum, Nycticorax nycticorax, Phimosus infuscatus, Egretta thula, Egretta caerulea, Larus dominicanus, Eudocimus ruber, Ardea alba, Turdus rufiventris, Pitangus sulphuratus"
4,"Turdus rufiventris, Brotogeris tirica, Pitangus sulphuratus, Thraupis sayaca, Zenaida auriculata, Celeus flavescens, Vanellus chilensis, Turdus leucomelas, Gallinula galeata, Furnarius rufus"
5,"Turdus rufiventris, Penelope obscura, Passer domesticus, Celeus flavescens, Pitangus sulphuratus, Furnarius rufus, Brotogeris tirica, Mesembrinibis cayennensis, Caracara plancus, Colaptes campestris"
6,"Caracara plancus, Penelope obscura, Turdus rufiventris, Celeus flavescens, Pitangus sulphuratus, Vanellus chilensis, Coereba flaveola, Brotogeris tirica, Thraupis sayaca, Coragyps atratus"
7,"Cygnus atratus, Gallinula galeata, Turdus rufiventris, Nannopterum brasilianum, Pitangus sulphuratus, Vanellus chilensis, Furnarius rufus, Ardea alba, Anser cygnoides domesticus, Brotogeris tirica"
8,"Turdus rufiventris, Celeus flavescens, Pitangus sulphuratus, Piaya cayana, Brotogeris tirica, Coereba flaveola, Thraupis sayaca, Zenaida auriculata, Patagioenas picazuro, Turdus leucomelas"
9,"Turdus rufiventris, Pitangus sulphuratus, Furnarius rufus, Vanellus chilensis, Gallinula galeata, Brotogeris tirica, Turdus leucomelas, Thraupis sayaca, Mimus saturninus, Nannopterum brasilianum"
10,"Furnarius rufus, Mimus saturninus, Turdus rufiventris, Pitangus sulphuratus, Celeus flavescens, Brotogeris tirica, Turdus leucomelas, Zenaida auriculata, Nannopterum brasilianum, Thraupis sayaca"
11,"Ramphastos dicolorus, Vanellus chilensis, Anser anser domesticus, Turdus rufiventris, Nannopterum brasilianum, Gallinula galeata, Mimus saturninus, Turdus leucomelas, Aramides saracura, Coereba flaveola"
12,"Guira guira, Athene cunicularia, Mimus saturninus, Brotogeris tirica, Daptrius chimachima, Caracara plancus, Fluvicola nengeta, Turdus rufiventris, Furnarius rufus, Machetornis rixosa"
13,"Ramphastos toco, Celeus flavescens, Pitangus sulphuratus, Turdus rufiventris, Ramphastos dicolorus, Brotogeris tirica, Penelope obscura, Thraupis sayaca, Mimus saturninus, Turdus leucomelas"
